$PASHR,155806.300,52.346,T,-0.039,-0.329,,0.088,0.088,0.020,2,3*05
$PASHR,155806.350,52.345,T,-0.041,-0.330,,0.088,0.088,0.020,2,3*04
$PASHR,155806.400,52.346,T,-0.040,-0.330,,0.088,0.088,0.020,2,3*04
$PASHR,155806.450,52.346,T,-0.038,-0.330,,0.088,0.088,0.020,2,3*0E
$PASHR,155806.500,52.345,T,-0.034,-0.329,,0.088,0.088,0.020,2,3*0D
$PASHR,155806.550,52.347,T,-0.032,-0.329,,0.088,0.088,0.020,2,3*0C
$PASHR,155806.600,52.349,T,-0.033,-0.330,,0.088,0.088,0.020,2,3*0D
$PASHR,155806.650,52.349,T,-0.036,-0.330,,0.088,0.088,0.020,2,3*0D
$PASHR,155806.700,52.350,T,-0.039,-0.330,,0.088,0.088,0.020,2,3*0E
$PASHR,155806.750,52.348,T,-0.039,-0.330,,0.088,0.088,0.020,2,3*02
$PASHR,155806.800,52.347,T,-0.037,-0.329,,0.088,0.088,0.020,2,3*01
$PASHR,155806.850,52.348,T,-0.035,-0.329,,0.088,0.088,0.020,2,3*09
$PASHR,155806.900,52.349,T,-0.033,-0.328,,0.088,0.088,0.020,2,3*0B
$PASHR,155806.950,52.349,T,-0.032,-0.330,,0.088,0.088,0.020,2,3*06
$PASHR,155807.000,52.349,T,-0.034,-0.329,,0.088,0.088,0.020,2,3*05
$PASHR,155807.050,52.350,T,-0.036,-0.329,,0.088,0.088,0.020,2,3*0A
$PASHR,155807.100,52.350,T,-0.038,-0.328,,0.088,0.088,0.020,2,3*01
$PASHR,155807.150,52.349,T,-0.036,-0.327,,0.088,0.088,0.020,2,3*0D
$PASHR,155807.200,52.348,T,-0.033,-0.328,,0.088,0.088,0.020,2,3*00
$PASHR,155807.250,52.347,T,-0.030,-0.330,,0.088,0.088,0.020,2,3*00
$PASHR,155807.300,52.348,T,-0.030,-0.331,,0.088,0.088,0.020,2,3*0A
$PASHR,155807.350,52.350,T,-0.032,-0.331,,0.088,0.088,0.020,2,3*04
$PASHR,155807.400,52.350,T,-0.033,-0.331,,0.088,0.088,0.020,2,3*07
$PASHR,155807.450,52.351,T,-0.034,-0.330,,0.088,0.088,0.020,2,3*05
$PASHR,155807.500,52.348,T,-0.033,-0.329,,0.088,0.088,0.020,2,3*06
$PASHR,155807.550,52.350,T,-0.029,-0.330,,0.088,0.088,0.020,2,3*09
$PASHR,155807.600,52.352,T,-0.028,-0.330,,0.088,0.088,0.020,2,3*0C
$PASHR,155807.650,52.352,T,-0.028,-0.331,,0.088,0.088,0.020,2,3*08
$PASHR,155807.700,52.353,T,-0.031,-0.331,,0.088,0.088,0.020,2,3*05
$PASHR,155807.750,52.352,T,-0.033,-0.332,,0.088,0.088,0.020,2,3*00
$PASHR,155807.800,52.352,T,-0.035,-0.331,,0.088,0.088,0.020,2,3*0F
$PASHR,155807.850,52.351,T,-0.034,-0.331,,0.088,0.088,0.020,2,3*08
$PASHR,155807.900,52.352,T,-0.033,-0.330,,0.088,0.088,0.020,2,3*09
$PASHR,155807.950,52.352,T,-0.030,-0.332,,0.088,0.088,0.020,2,3*0D
