$PASHR,HPR,155501.90,52.24482,0.13671,-0.01846,0.0035,0.0016,0,0,2.000,*04
$PASHR,HPR,155502.00,52.23965,0.12912,-0.01182,0.0035,0.0004,0,0,2.000,*04
$PASHR,HPR,155502.10,52.25457,0.13046,-0.03827,0.0034,0.0020,0,0,2.000,*05
$PASHR,HPR,155502.20,52.24710,0.11931,-0.06106,0.0029,0.0031,0,0,2.000,*0F
$PASHR,HPR,155502.30,52.25319,0.12270,-0.03979,0.0029,0.0034,0,0,2.000,*0F
$PASHR,HPR,155502.50,52.25150,0.13791,-0.03097,0.0029,0.0023,0,0,2.000,*02
$PASHR,HPR,155502.60,52.26001,0.15654,-0.04329,0.0029,0.0040,0,0,2.000,*0D
$PASHR,HPR,155502.80,52.25075,0.11386,-0.05048,0.0029,0.0016,0,0,2.000,*0B
$PASHR,HPR,155502.90,52.25662,0.14213,-0.03581,0.0029,0.0031,0,0,2.000,*01
$PASHR,HPR,155503.00,52.25982,0.15678,-0.03858,0.0029,0.0031,0,0,2.000,*09
$PASHR,HPR,155503.20,52.25942,0.08699,-0.02755,0.0030,0.0028,0,0,2.000,*07
$PASHR,HPR,155503.30,52.24818,0.13635,-0.05835,0.0030,0.0028,0,0,2.000,*0B
$PASHR,HPR,155503.50,52.25207,0.10267,-0.04804,0.0030,0.0018,0,0,2.000,*08
$PASHR,HPR,155503.60,52.25762,0.09671,-0.03470,0.0030,0.0022,0,0,2.000,*07
$PASHR,HPR,155503.70,52.25803,0.10342,-0.03279,0.0030,0.0019,0,0,2.000,*04
$PASHR,HPR,155503.90,52.25854,0.11622,-0.04831,0.0030,0.0033,0,0,2.000,*03
$PASHR,HPR,155504.00,52.24668,0.11896,-0.01262,0.0030,0.0022,0,0,2.000,*05
$PASHR,HPR,155504.20,52.24537,0.13264,-0.03042,0.0030,0.0022,0,0,2.000,*09
$PASHR,HPR,155504.30,52.24551,0.11478,-0.07952,0.0030,0.0020,0,0,2.000,*0F
$PASHR,HPR,155504.40,52.25423,0.10062,-0.08621,0.0030,0.0011,0,0,2.000,*05
$PASHR,HPR,155504.60,52.24364,0.14230,-0.11553,0.0030,0.0017,0,0,2.000,*0B
$PASHR,HPR,155504.70,52.24183,0.12560,-0.07926,0.0030,0.0018,0,0,2.000,*03
$PASHR,HPR,155504.80,52.24592,0.06277,-0.06239,0.0030,0.0018,0,0,2.000,*08
$PASHR,HPR,155505.00,52.25328,0.10458,-0.09690,0.0030,0.0018,0,0,2.000,*03
$PASHR,HPR,155505.10,52.24802,0.13878,-0.03211,0.0031,0.0027,0,0,2.000,*07
$PASHR,HPR,155505.30,52.25984,0.16124,-0.02915,0.0031,0.0034,0,0,2.000,*02
$PASHR,HPR,155505.40,52.26011,0.12972,0.00291,0.0028,0.0026,0,0,2.000,*2F
$PASHR,HPR,155505.50,52.25064,0.12138,-0.01022,0.0028,0.0025,0,0,2.000,*0C
$PASHR,HPR,155505.70,52.25282,0.14323,-0.02209,0.0028,0.0029,0,0,2.000,*0E
$PASHR,HPR,155505.80,52.24230,0.13749,-0.01316,0.0028,0.0021,0,0,2.000,*02
$PASHR,HPR,155506.00,52.25860,0.11338,-0.01680,0.0028,0.0041,0,0,2.000,*0B
$PASHR,HPR,155506.10,52.24244,0.09508,-0.02344,0.0024,0.0014,0,0,2.000,*09
$PASHR,HPR,155506.20,52.24740,0.09918,-0.02896,0.0024,0.0010,0,0,2.000,*06
$PASHR,HPR,155506.40,52.25081,0.16569,-0.03715,0.0024,0.0022,0,0,2.000,*0B
$PASHR,HPR,155506.50,52.24918,0.14289,0.01329,0.0024,0.0010,0,0,2.000,*2C
$PASHR,HPR,155506.60,52.25067,0.11342,-0.03688,0.0024,0.0021,0,0,2.000,*0F
$PASHR,HPR,155506.70,52.25833,0.09676,-0.01247,0.0024,0.0033,0,0,2.000,*0A
$PASHR,HPR,155506.80,52.24631,0.13669,0.00289,0.0024,0.0015,0,0,2.000,*27
$PASHR,HPR,155506.90,52.24953,0.08325,-0.02933,0.0024,0.0018,0,0,2.000,*02
$PASHR,HPR,155507.10,52.24099,0.12244,-0.01692,0.0024,0.0006,0,0,2.000,*01
$PASHR,HPR,155507.20,52.24791,0.09131,-0.02510,0.0024,0.0030,0,0,2.000,*09
$PASHR,HPR,155507.30,52.24656,0.13521,-0.01322,0.0024,0.0015,0,0,2.000,*0F
$PASHR,HPR,155507.40,52.25756,0.14282,-0.03317,0.0024,0.0021,0,0,2.000,*02
$PASHR,HPR,155507.50,52.24113,0.12856,-0.00832,0.0024,0.0014,0,0,2.000,*09
$PASHR,HPR,155507.60,52.24314,0.12488,-0.00273,0.0024,0.0008,0,0,2.000,*02
$PASHR,HPR,155507.80,52.24993,0.10497,-0.00763,0.0024,0.0037,0,0,2.000,*0D
$PASHR,HPR,155507.90,52.25333,0.15922,-0.00497,0.0024,0.0028,0,0,2.000,*0D
$PASHR,HPR,155508.00,52.23987,0.12908,-0.00540,0.0024,0.0016,0,0,2.000,*01
$PASHR,HPR,155508.20,52.27041,0.11003,-0.02615,0.0023,0.0021,0,0,2.000,*07
$PASHR,HPR,155508.30,52.25846,0.12952,-0.04994,0.0023,0.0019,0,0,2.000,*0E
$PASHR,HPR,155508.50,52.25864,0.07473,-0.04479,0.0023,0.0024,0,0,2.000,*02
$PASHR,HPR,155508.60,52.26301,0.09835,-0.05276,0.0023,0.0019,0,0,2.000,*0C
$PASHR,HPR,155508.70,52.26517,0.10758,-0.05836,0.0023,0.0020,0,0,2.000,*04
$PASHR,HPR,155508.90,52.26438,0.11411,-0.06642,0.0023,0.0025,0,0,2.000,*02
